n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri
sportsdrink,,,,,,,,,,,,,,,,,,,,,,,,,,sports drink,energy drink,non alcoholic
spouse,,,,,,,,,,,,,,,spouse,family,pair,,,,,,,,,,,
spring water,,,,,,,,,,,,,,,,,,,,,,,,,,spring water,water,non alcoholic
squash,squash,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
sriracha,sriracha,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
stax,stax,salty snacks,light food,light food,salty snacks,packaged food,stax,stax,lays,,,,,,,,,,,portable,portable,rte,rte,,,,,
steak,steak,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
steak house,,,,,,,,,,,,,steak house,coffee shops/bakery/eatery,,,,,,,,,,,,,,
steakhouse,,,,,,,,,,,,,steakhouse,coffee shops/bakery/eatery,,,,,,,,,,,,,,
stevia,stevia,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
stevine em tablete,,,,,,,stevine em tablete,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
stevine liquido,,,,,,,stevine liquido,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
stevine sache,,,,,,,stevine sache,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
stew,,,,,,,,,,,,,,,,,,,,stew,textures,,,,,,,
stiksy,stiksy,salty snacks,light food,light food,,,stiksy,stiksy,stiksy,,,,,,,,,,,portable,portable,rte,rte,,,,,
strawberry,strawberry,fruits,fruits,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry bar,strawberry bar,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,rte,rte,,,,,
street,,,,,,,,,,,,,street,on the way,,,,,,,,,,,,,,
street food,street food,street food,street food,,,,,,,,,,,,,,,,,,,,,,,,,
street market,,,,,,,,,,,,,street market,on the way,,,,,,,,,,,,,,
street stalls,,,,,,,,,,,,,street stalls,on the way,,,,,,,,,,,,,,
streetfood,streetfood,street food,street food,,,,,,,,,,,,,,,,,,,,,,,,,
strengthen,,,,,,,,,,strengthen,strengthen,strengthen,,,,,,,,,,,,,,,,
stressful,,,,,,,,,,stressful,dislike,negative,,,,,,,,,,,,,,,,
strong,,,,,,,,,,strong,strong,strong,,,,,,,,,,,,,,,,
studio,,,,,,,,,,,,,studio,outside,,,,,,,,,,,,,,
stunned,,,,,,,,,,stunned,superlative,positive,,,,,,,,,,,,,,,,
suadero,suadero,traditional dishes,heavy meal,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
suavidade,suavidade,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
submarinos,submarinos,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,submarinos,submarinos,submarinos,,,,,,,,,,,portable,portable,rte,rte,,,,,
subway,,,,,,,,,,,,,subway,on the way,,,,,,,,,,,,,,
suco de goiaba,,,,,,,suco de goiaba,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
suco de laranja,,,,,,,suco de laranja,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
suco de manga,,,,,,,suco de manga,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
suco de tangerina,,,,,,,suco de tangerina,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
sucrilhos,sucrilhos,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,sucrilhos,sucrilhos,kelloggs,,,,,,,,,,,,,,,,,,,
sucrilhos chocomallow,sucrilhos chocomallow,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,sucrilhos chocomallow,sucrilhos,kelloggs,,,,,,,,,,,,,,,,,,,
sucrilhos ricemallow,sucrilhos ricemallow,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,sucrilhos ricemallow,sucrilhos,kelloggs,,,,,,,,,,,,,,,,,,,
suffering,,,,,,,,,,suffering,dislike,negative,,,,,,,,,,,,,,,,
sugar,sugar,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
sugar free,,,,,,,,,,,,,,,,,,,,sugar free,diet,,,,,,,
sugar less,,,,,,,,,,,,,,,,,,,,sugar free,diet,,,,,,,
sugarfree,,,,,,,,,,,,,,,,,,,,sugar free,diet,,,,,,,
sugarless,,,,,,,,,,,,,,,,,,,,sugar free,diet,,,,,,,
sugary,,,,,,,,,,,,,,,,,,,,sugar free,diet,,,,,,,
sun room,,,,,,,,,,,,,sun room,outside,,,,,,,,,,,,,,
sunday,,,,,,,,,,,,,,,,,,weekend,weekend,,,,,,,,,
sunny side up,sunny side up,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,super,superlative,positive,,,,,,,,,,,,,,,,
supino,supino,wholesome snacks,wholesome snacks,light food,wholesome snacks,packaged food,supino,supino,supino,,,,,,,,,,,portable,portable,rte,rte,,,,,
supper,,,,,,,,,,,,,,,,,,supper,evening,,,,,,,,,
support,,,,,,,,,,support,support,support,,,,,,,,,,,,,,,,
supportive,,,,,,,,,,supportive,supportive,supportive,,,,,,,,,,,,,,,,
surprise,,,,,,,,,,surprise,surprise,surprise,,,,,,,,,,,,,,,,
surprised,,,,,,,,,,surprised,superlative,positive,,,,,,,,,,,,,,,,
sushi,sushi,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
suspicious,,,,,,,,,,suspicious,concern/confused,confused,,,,,,,,,,,,,,,,
sustain,,,,,,,,,,,,,,,,,,,,,,sustain,sustain,,,,,
