n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri 
beautiful,,,,,,,,,,beautiful,affection/longing,positive,,,,,,,,,,,,,,,,
beauty,,,,,,,,,,beautiful,affection/longing,positive,,,,,,,,,,,,,,,,
bebida vegetal organica de arroz com amendos,,,,,,,bebida vegetal organica de arroz com amendos,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
bebida vegetal organica de arroz com calcio,,,,,,,bebida vegetal organica de arroz com calcio,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
bebida vegetal organica de aveia com calcio,,,,,,,bebida vegetal organica de aveia com calcio,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
bebida vegetal organica em po chocolate,,,,,,,bebida vegetal organica em po chocolate,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
bebida vegetal organica em po original,,,,,,,bebida vegetal organica em po original,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
bechamel,bechamel,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
bed room,,,,,,,,,,,,,bedroom,home,,,,,,,,,,,,,,
bedroom,,,,,,,,,,,,,bedroom,home,,,,,,,,,,,,,,
beef,beef,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
beer,,,,,,,,,,,,,,,,,,,,,,,,,,beer,beer,alcoholic
beers,,,,,,,,,,,,,,,,,,,,,,,,,,beer,beer,alcoholic
beet,beet,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
beijinho,beijinho,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
bellini,,,,,,,,,,,,,,,,,,,,,,,,,,bellini,alcohol,alcoholic
belvita,belvita,wholesome snacks,light food,light food,wholesome snacks,packaged food,belvita,belvita,belvita,,,,,,,,,,,,,,,,,,,
bemused,,,,,,,,,,bemused,concern/confused,confused,,,,,,,,,,,,,,,,
bemusing,,,,,,,,,,bemused,concern/confused,confused,,,,,,,,,,,,,,,,
beneficial,,,,,,,,,,,,,,,,,,,,,,beneficial,beneficial,,,,,
berries,berry,fruits,natural,,,,,,,,,,,,,,,,,,,detox,detox,,,,,
berry,berry,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
bimbunuelos,bimbunuelos,snacks,light food,light food,sweet snacks,packaged food,bimbunuelos,bimbunuelos,bimbo,,,,,,,,,,,,,,,,,,,
bio2,bio2,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
biscochitos,biscochitos,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscoito,biscuit,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscoito caseiro,biscoito caseiro,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscoito de agua e sal,biscoito de agua e sal,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscoito de polvilho,biscoito de polvilho,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscoito integral alho e oregano,,,,,,,biscoito integral alho e oregano,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
biscoito integral cebola,,,,,,,biscoito integral cebola,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
biscoito integral gergelim e linhaca,,,,,,,biscoito integral gergelim e linhaca,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
biscoito nescau,,,,,,,biscoito nescau,nescau,nestle,,,,,,,,,,,,,,,,,,,
biscoito torrado,biscoito torrado,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscoitos,biscuit,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
biscuit,biscuit,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
bisnaga pao,bisnaga pao,breads,breads,,,,,,,,,,,,,,,,,,,,,,,,,
bisnaguinha,bisnaguinha,breads,breads,,,,,,,,,,,,,,,,,,,,,,,,,
bistro,,,,,,,,,,,,,bistro,outside,,,,,,,,,,,,,,
bitter,,,,,,,,,,bitter,dislike,negative,,,,,,,,,,,,,,,,
bitterness,,,,,,,,,,bitter,dislike,negative,,,,,,,,,,,,,,,,
bizcocho,bizcocho,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
blessed,,,,,,,,,,blessed,laid back,feel good,,,,,,,,,,,,,,,,
blessed wish,,,,,,,,,,blessed wish,affection/longing,positive,,,,,,,,,,,,,,,,
blessing,,,,,,,,,,blessed,laid back,feel good,,,,,,,,,,,,,,,,
blood orange martinis,,,,,,,,,,,,,,,,,,,,,,,,,,blood orange martinis,cocktails,alcoholic
bloody mary,,,,,,,,,,,,,,,,,,,,,,,,,,bloody mary,cocktails,alcoholic
blueberry,blueberry,fruits,natural,,,,,,,,,,,,,,,,,,,detox,detox,,,,,
blueberry bar,blueberry bar,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
blush,,,,,,,,,,blush,affection/longing,positive,,,,,,,,,,,,,,,,
board room,,,,,,,,,,,,,boardroom,work,,,,,,,,,,,,,,
boating,,,,,,,,,,,,,,,,,,,,,,,,boating,leisure,,,
body care,,,,,,,,,,,,,,,,,,,,,,body care,body care,,,,,
body care and performance,,,,,,,,,,,,,,,,,,,,,,body care,body care and performance,,,,,
body care vs. tides me over,,,,,,,,,,,,,,,,,,,,,,body care,body care vs. tides me over,,,,,
body replenishment,,,,,,,,,,,,,,,,,,,,,,body replenishment,energize,,,,,
boiled,,,,,,,,,,,,,,,,,,,,boiled,textures,,,,,,,
boiled custard,boiled custard,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
boiled egg,boiled egg,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
bokados,bokados,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
bolacha,biscuit,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
bolachas,biscuit,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
bolinho,bolinho,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
bollo,bollo,breads,breads,,,,,,,,,,,,,,,,,,,,,,,,,
bolo,cake,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
bolo de chocolate,bolo de chocolate,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
bolo de rolo,bolo de rolo,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
bolognaise,bolognaise,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
bolognese,bolognese,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
bombom,bombom,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
bombon,bombon,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
boned cream,boned cream,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
booze,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol,alcohol,alcoholic
bore,,,,,,,,,,bored,dislike,negative,,,,,,,,,,,,,,,,
bored,,,,,,,,,,bored,dislike,negative,,,,,,,,,,,,,,,,
boring,,,,,,,,,,bored,dislike,negative,,,,,,,,,,,,,,,,
bourbon,,,,,,,,,,,,,,,,,,,,,,,,,,bourbon,alcohol,alcoholic
box,,,,,,,,,,,,,,,,,,,,,,box,packaging,,,,,
boxes,,,,,,,,,,,,,,,,,,,,,,box,packaging,,,,,
boyfriend,,,,,,,,,,,,,,,boyfriend,romantic partner,pair,,,,,,,,,,,
boys,,,,,,,,,,,,,,,boys,friends,large group,,,,,,,,,,,
boyz,,,,,,,,,,,,,,,boys,friends,large group,,,,,,,,,,,
bran,bran,cereal,light food,,,,,,,,,,,,,,,,,,,,,,,,,
brandura,brandura,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
brave,,,,,,,,,,brave,superlative,positive,,,,,,,,,,,,,,,,
bravery,,,,,,,,,,bravery,superlative,positive,,,,,,,,,,,,,,,,
brazil,,,,,,,,,,,,,brazil,outside,,,,,,,,,,,,,,
bread,bread,breads,light food,,,,,,,,,,,,,,,,,,,,,,,,,
breadsticks,breadsticks,breads,light food,,,,,,,,,,,,,,,,,,,,,,,,,
breakfast,,,,,,,,,,,,,,,,,,breakfast,morning,,,,,,,,,
breakfast bar,breakfast bar,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
breakfast biscuits!,,,,,,,breakfast biscuits!,breakfast biscuits!,kelloggs,,,,,,,,,,,,,,,,,,,
breakfast pots,breakfast pots,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
breakfast shake,,,,,,,,,,,,,,,,,,,,,,refreshing,refreshing,,,breakfast shake,shakes,non alcoholic
breakfast shakes,,,,,,,,,,,,,,,,,,,,,,refreshing,refreshing,,,,,
brewery,,,,,,,,,,,,,brewery,outside,,,,,,,,,,,,,,
bridal,,,,,,,,,,,,,,,bridal,family,small group,,,,,,,,,,,
bride,,,,,,,,,,,,,,,bride,family,pair,,,,,,,,,,,
bridesmaid,,,,,,,,,,,,,,,bridesmaids,family,small group,,,,,,,,,,,
bridesmaid kids,,,,,,,,,,,,,,,bridesmaid kids,family,small group,,,,,,,,,,,
bridesmaids,,,,,,,,,,,,,,,bridesmaids,family,small group,,,,,,,,,,,
brigadeiro,brigadeiro,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
bro,,,,,,,,,,,,,,,bro,friends,small group,,,,,,,,,,,
broccoli,broccoli,veggies,veggies,,,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
bros,,,,,,,,,,,,,,,bros,friends,large group,,,,,,,,,,,
brother,,,,,,,,,,,,,,,brother,family,small group,,,,,,,,,,,
brownie,brownie,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
brunch,,,,,,,,,,,,,,,,,,brunch,afternoon,,,,,,,,,
brussel sprouts,brussel sprouts,veggies,veggies,,,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
bubble gum,bubble gum,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
bubble tea,,,,,,,,,,,,,,,,,,,,,,,,,,bubble tea,tea,non alcoholic
bubulubu,bubulubu,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
buckwheat,buckwheat,cereal,light food,,,,,,,,,,,,,,,,,,,,,,,,,
bud,,,,,,,,,,,,,,,buddy,friends,small group,,,,,,,,,,,
budd,,,,,,,,,,,,,,,buddy,friends,small group,,,,,,,,,,,
buddies,,,,,,,,,,,,,,,buddies,friends,large group,,,,,,,,,,,
buddy,,,,,,,,,,,,,,,buddy,friends,small group,,,,,,,,,,,
buds,,,,,,,,,,,,,,,buddies,friends,large group,,,,,,,,,,,
budweiser,,,,,,,,,,,,,,,,,,,,,,,,,,budweiser,beer,alcoholic
buffet,,,,,,,,,,,,,,,,,,,,,,eat hefty,eat hefty,,,,,
bun,bun,breads,light food,,,,,,,,,,,,,,,,,,,,,,,,,
bunuelo,bunuelo,snacks,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
burger,burger,street food,street food,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
burnout,,,,,,,,,,burnout,dislike,negative,,,,,,,,,,,,,,,,
burrito,burritos,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
burritos,burritos,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
bus,,,,,,,,,,,,,bus,on the way,,,,,,,,,,,,,,
butter,butter,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
butter beer,,,,,,,,,,,,,,,,,,,,,,,,,,butterbeer,beer,alcoholic
butterbeer,,,,,,,,,,,,,,,,,,,,,,,,,,butterbeer,beer,alcoholic
buttered,,,,,,,,,,,,,,,,,,,,buttered,textures,,,,,,,
buttermilk,,,,,,,,,,,,,,,,,,,,,,resfreshing,resfreshing,,,buttermilk,buttermilk,non alcoholic
butterscotch,butterscotch,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
by myself,,,,,,,,,,,,,,,by myself,alone,alone,,,,,,,,,,,
cabbage,cabbage,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
cacahuates,peanuts,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,,,
cachaca,,,,,,,,,,,,,,,,,,,,,,,,,,cachaca,cocktails,alcoholic
cafe,,,,,,,,,,,,,cafe,coffee shops/bakery/eatery,,,,,,,,,,,,,,
café,,,,,,,,,,,,,cafe,coffee shops/bakery/eatery,,,,,,,,,,,,,,
cafe latte,,,,,,,,,,,,,,,,,,,,caffeine,properties,,,,,cafe latte,coffee,non alcoholic
café latte,,,,,,,,,,,,,,,,,,,,caffeine,properties,,,,,cafe latte,coffee,non alcoholic
cafeteria,,,,,,,,,,,,,cafeteria,coffee shops/bakery/eatery,,,,,,,,,,,,,,
caffeine,,,,,,,,,,,,,,,,,,,,caffeine,properties,,,,,,,
caipirinha,,,,,,,,,,,,,,,,,,,,,,,,,,caipirinha,cocktails,alcoholic
cajuina,,,,,,,,,,,,,,,,,,,,,,,,,,cajuina,mocktails,non alcoholic
cajun,cajun,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
cake,cake,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
cakebread,cakebread,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
calamari,calamari,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
calcium,,,,,,,,,,,,,,,,,,,,calcium,nutritional,,,,,,,
calda de agave organico,,,,,,,calda de agave organico,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
caldo de cana,,,,,,,,,,,,,,,,,,,,,,,,,,caldo de cana,juices,non alcoholic
calorie,,,,,,,,,,,,,,,,,,,,calories,diet,,,,,,,
calories,,,,,,,,,,,,,,,,,,,,calories,diet,,,,,,,
camp,,,,,,,,,,,,,camp,outside,,,,,,,,,,,,,,
campechano,campechano,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
camping,,,,,,,,,,,,,,,,,,,,,,,,camping,leisure,,,
campus,,,,,,,,,,,,,campus,school,,,,,,,,,,,,,,
can,,,,,,,,,,,,,,,,,,,,,,can,packaging,,,,,
can consume a lot,,,,,,,,,,,,,,,,,,,,,,can consume a lot,eat hefty,,,,,
can eat a lot of it,,,,,,,,,,,,,,,,,,,,,,can eat a lot of it,eat hefty,,,,,
canasta,canasta,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
candied,,,,,,,,,,,,,,,,,,,,candied,textures,,,,,,,
candied yams,candied yams,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
candies,candy,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
candy,candy,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
candy apples,candy apples,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
candy canes,candy canes,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
canelitas,canelitas,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,rte,rte,,,,,
caninha,,,,,,,,,,,,,,,,,,,,,,,,,,caninha,cocktails,alcoholic
cannoli,cannoli,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
cans,,,,,,,,,,,,,,,,,,,,,,can,packaging,,,,,
canteen,,,,,,,,,,,,,canteen,school,,,,,,,,,,,,,,
palitos,palitos,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pallets,,,,,,,,,,,,,,,,,,,,,,pallets,packaging,,,,,
palm oil,palm oil,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
palomitas de maiz,palomitas de maiz,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pals,,,,,,,,,,,,,,,pals,friends,large group,,,,,,,,,,,
pamonha,pamonha,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
pan dulce,pan dulce,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
pancake,pancake,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
panco,panco,wholesome snacks,heavy meal,traditional food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
panic,,,,,,,,,,panicking,dislike,negative,,,,,,,,,,,,,,,,
panicking,,,,,,,,,,panicking,dislike,negative,,,,,,,,,,,,,,,,
panicked,,,,,,,,,,panicking,dislike,negative,,,,,,,,,,,,,,,,
panqueca,panqueca,wholesome snacks,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
pao com manteiga,bread and butter,breads,breads,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
pao de forma,loaf bread,breads,breads,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
pao frances,french bread,breads,breads,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
pao integral,whole grain bread,breads,breads,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
pao na chapa,bread on the plate,breads,breads,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
pao sem gluten com frutas e castanhas,pao sem gluten com frutas e castanhas,breads,breads,light food,wholesome snacks,packaged food,pao sem gluten com frutas e castanhas,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
pao sem gluten multigraos,pao sem gluten multigraos,breads,breads,light food,wholesome snacks,packaged food,pao sem gluten multigraos,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
pao sem gluten tradicional fatiado,pao sem gluten tradicional fatiado,breads,breads,light food,wholesome snacks,packaged food,pao sem gluten tradicional fatiado,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
papas,papas,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
papas fritas,papas fritas,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
papaya,papaya,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
paprika,paprika,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
parade,,,,,,,,,,,,,parade,outside,,,,,,,,,,,,,,
parent,,,,,,,,,,,,,,,parents,family,small group,,,,,,,,,,,
parents,,,,,,,,,,,,,,,parents,family,small group,,,,,,,,,,,
park,,,,,,,,,,,,,parks,outside,,,,,,,,,,,,,,
parking lot,,,,,,,,,,,,,parking lot,outside,,,,,,,,,,,,,,
parks,,,,,,,,,,,,,parks,outside,,,,,,,,,,,,,,
parmalat,,,packaged,,,,parmalat,parmalat,parmalat,,,,,,,,,,,,,,,,,,,
parmesan,parmesan,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
parsley,parsley,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
partner,,,,,,,,,,,,,,,partners,friends,small group,,,,,,,,,,,
partners,,,,,,,,,,,,,,,partners,friends,small group,,,,,,,,,,,
party,,,,,,,,,,,,,,,,,,,,,,,,partying,social activities,,,
partying,,,,,,,,,,,,,,,,,,,,,,,,partying,social activities,,,
pasas,pasas,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
passar manteiga,passar manteiga,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
passatempo,passatempo,dessert,light food,light food,sweet snacks,packaged food,passatempo,passatempo,passatempo,,,,,,,,,,,portable,portable,rte,rte,,,,,
passion,,,,,,,,,,passion,affection/longing,positive,,,,,,,,,,,,,,,,
passionate,,,,,,,,,,passion,affection/longing,positive,,,,,,,,,,,,,,,,
pasta,pasta,snacks,heavy meal,,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
pastel,pastel,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
pastel caliente,pastel caliente,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
pasteles,pasteles,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
pastelitos,pastelitos,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
pastilha,pastilha,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
pastries,pastries,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
pastry,pastries,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
patatas fritas,patatas fritas,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pates,pates,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
paying per unit,,,,,,,,,,,,,,,,,,,,,,paying per unit,cost,,,,,
peace,,,,,,,,,,peace,laid back,feel good,,,,,,,,,,,,,,,,
peace and joy,,,,,,,,,,peace,laid back,feel good,,,,,,,,,,,,,,,,
peach,peach,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
peache,peach,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
peanut,peanut,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,rte,rte,,,,,
peanut butter,peanut butter,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,rte,rte,,,,,
peanutbutter,peanut butter,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,rte,rte,,,,,
peanut,peanuts,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,rte,rte,,,,,
peanuts,peanuts,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pear,pear,fruits,natural,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
peas,peas,veggies,veggies,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pecan,pecans,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pecans,pecans,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pedemoleque,pedemoleque,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
penthouse,,,,,,,,,,,,,penthouse,home,,,,,,,,,,,,,,
people,,,,,,,,,,,,,,,people,people,large group,,,,,,,,,,,
pepper,pepper,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
pepper corn,peppercorn,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
peppercorn,peppercorn,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pepsi,,,packaged,,,,pepsi,pepsi,pepsi,,,,,,,,,,,,,rte,rte,,,pepsi,soda,non alcoholic
pepsico,,,packaged,,,,pepsi,pepsi,pepsi,,,,,,,,,,,,,rte,rte,,,,,
per kilo,,,,,,,,,,,,,per kilo,coffee shops/bakery/eatery,,,,,,,,,,,,,,
per kilo restaurant,,,,,,,,,,,,,per kilo restaurant,coffee shops/bakery/eatery,,,,,,,,,,,,,,
per kilo restaurants,,,,,,,,,,,,,per kilo restaurants,coffee shops/bakery/eatery,,,,,,,,,,,,,,
perfect,,,,,,,,,,perfect,superlative,positive,,,,,,,,,,,,,,,,
perfection,,,,,,,,,,perfect,superlative,positive,,,,,,,,,,,,,,,,
performance,,,,,,,,,,,,,,,,,,,,,,performance,energize,,,,,
peri peri,peri peri,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
persimmon pudding,persimmon pudding,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
personal habit,,,,,,,,,,,,,,,,,,,,,,personal habit,routine,,,,,
pesto,pestos,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
pestos,pestos,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
pheasant,pheasant,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
physical performance,,,,,,,,,,,,,,,,,,,,,,performance,energize,,,,,
physical performance and recover,,,,,,,,,,,,,,,,,,,,,,performance,energize,,,,,
physical recovery,,,,,,,,,,,,,,,,,,,,,,recovery,energize,,,,,
physical strength,,,,,,,,,,,,,,,,,,,,,,strength,strength,,,,,
pic me,pic me,wholesome snacks,light food,light food,wholesome snacks,,pic me,pic me,pic me,,,,,,,,,,,portable,portable,rte,rte,,,,,
picaditas ,picaditas ,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
picanha flavored chips,picanha flavored chips,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
picante,picante,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
pick me up vs. hydrate,,,,,,,,,,,,,,,,,,,,,,pick me up vs. hydrate,pick me up vs. hydrate,,,,,
pickels,pickels,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
picked,,,,,,,,,,,,,,,,,,,,,,,,picking,day to day activities,,,
picking,,,,,,,,,,,,,,,,,,,,,,,,picking,day to day activities,,,
pickle,pickle,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
pickled,pickled,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
pickles,pickles,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
picme,picme,wholesome snacks,light food,light food,wholesome snacks,,pic me,pic me,pic me,,,,,,,,,,,portable,portable,rte,rte,,,,,
picnic,,,,,,,,,,,,,picnic,outside,,,,,,,,,,,,,,
pico,pico,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
picole,picole,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
pie,pie,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
pilgrimage,,,,,,,,,,,,,pilgrimage,outside,,,,,,,,,,,,,,
pinchos,pinchos,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
